2016-11-11 10:29:46,773 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.gionee.pay.promotion:gionee-pay-promotion:1.0.0 @ G:\workspace-myweb\gionee-pay-promotion-core\pom.xml.
2016-11-11 10:29:47,365 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:29:50,082 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:29:54,374 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:29:54,836 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:29:54,843 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:29:54,847 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2016-11-11 10:29:55,502 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:29:55,502 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2016-11-11 10:31:19,515 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:31:19,515 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:31:19,517 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 10:31:19,518 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:31:19,519 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2016-11-11 10:37:42,026 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.gionee.pay.promotion:gionee-pay-promotion:1.0.0 @ G:\workspace-myweb\gionee-pay-promotion-core\pom.xml.
2016-11-11 10:37:43,559 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:37:44,959 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:37:47,485 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:37:47,490 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:37:47,492 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2016-11-11 10:37:47,684 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:37:47,684 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2016-11-11 10:38:53,936 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.gionee.pay.promotion:gionee-pay-promotion:1.0.0 @ G:\workspace-myweb\gionee-pay-promotion-core\pom.xml.
2016-11-11 10:38:54,077 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:38:54,526 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:38:56,415 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:38:56,420 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:38:56,421 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2016-11-11 10:38:56,614 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:38:56,615 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2016-11-11 10:40:34,190 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2016-11-11 10:40:34,544 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:40:34,546 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:40:34,560 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2016-11-11 10:40:34,692 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:40:34,692 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2016-11-11 10:41:01,994 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2016-11-11 10:41:01,994 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:41:01,995 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-11 10:41:01,996 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-11 10:41:01,996 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-01-10 16:54:12,499 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2017-01-10 16:54:14,567 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-01-10 16:54:14,602 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 16:54:14,638 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-01-10 16:54:15,187 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 16:54:15,188 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-01-10 17:51:15,033 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-01-10 17:51:15,104 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:51:15,112 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-01-10 17:51:15,281 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:51:15,281 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-01-10 17:51:27,550 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-01-10 17:51:27,551 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:51:27,559 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-01-10 17:51:27,696 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:51:27,697 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-01-10 17:51:27,697 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of gionee-pay-promotion-core
2017-01-10 17:51:27,698 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for gionee-pay-promotion-core
2017-01-10 17:51:27,702 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2017-01-10 17:51:27,786 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:59:02,675 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-01-10 17:59:02,692 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:59:02,692 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-10 17:59:02,694 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-10 17:59:02,694 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-01-12 14:39:57,481 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2017-01-12 14:40:04,220 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-01-12 14:40:04,243 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 14:40:04,273 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-01-12 14:40:04,704 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 14:40:04,704 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-09-11 15:37:28,387 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2017-09-11 15:37:34,916 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-09-11 15:37:34,944 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:37:34,974 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-09-11 15:37:35,639 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-11 15:37:35,639 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-11-01 19:47:48,046 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2017-11-01 19:47:54,097 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding GBK, i.e. build is platform dependent!
2017-11-01 19:47:54,132 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 19:47:54,153 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 19 resources
2017-11-01 19:47:54,573 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 19:47:54,573 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory G:\workspace-myweb\gionee-pay-promotion-core\src\test\resources
2017-11-01 19:48:29,768 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.gionee.nfc:nfc-admin:0.0.1-SNAPSHOT @ G:\workspace-myweb\nfc-admin\pom.xml.
2017-11-01 19:48:30,157 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mchange:c3p0:jar:0.9.1.2 is missing, no dependency information available
2017-11-01 19:48:31,828 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/gionee/epay/gionee-epay-sdk/1.8/gionee-epay-sdk-1.8.pom
2017-11-01 19:48:31,829 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.gionee.epay:gionee-epay-sdk:jar:1.8 is missing, no dependency information available
2017-11-01 19:48:32,762 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-core/2.8.8/jackson-core-2.8.8.pom
2017-11-01 19:48:32,967 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-core/2.8.8/jackson-core-2.8.8.pom
2017-11-01 19:48:33,147 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-parent/2.8/jackson-parent-2.8.pom
2017-11-01 19:48:33,356 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/fasterxml/jackson/jackson-parent/2.8/jackson-parent-2.8.pom
2017-11-01 19:48:33,544 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/oss-parent/27/oss-parent-27.pom
2017-11-01 19:48:33,891 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/fasterxml/oss-parent/27/oss-parent-27.pom
2017-11-01 19:48:34,092 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.8.8/jackson-databind-2.8.8.pom
2017-11-01 19:48:34,272 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.8.8/jackson-databind-2.8.8.pom
2017-11-01 19:48:34,474 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-annotations/2.8.0/jackson-annotations-2.8.0.pom
